ra,dec,g
299.98685121,-0.9873553,24.381773
300.00611456,-1.01661861,23.124632
300.01147557,-1.01355063,22.362982
300.01283742,-1.01313276,25.525543
300.01300848,-1.0114132,24.547464
300.01558783,-1.01113262,25.685673
299.97459407,-1.01231077,19.18539
299.97478433,-0.99497173,26.661449
299.97317538,-1.00770922,24.789478
299.97220752,-1.00347646,25.249647
299.97323131,-1.00597286,23.376234
299.97490037,-0.99213674,20.309595
299.97251672,-0.99704602,22.453115
299.97359259,-0.99760483,22.828665
299.97214883,-0.99799092,24.420795
299.9995613,-1.02142139,14.548833
300.00173052,-1.0233592,19.81739
299.99816907,-1.02679096,19.939993
299.99767871,-1.02305847,22.302649
300.00162446,-1.02120125,20.877483
300.00259529,-1.01956688,25.636292
299.99846574,-1.02467266,25.48925
300.00139097,-0.97715386,15.479761
300.00200851,-0.97475918,19.635105
299.99929837,-0.97700439,23.222277
300.00398394,-0.97668221,24.637146
300.0113182,-0.97472283,17.610243
300.01037931,-0.9746376,22.310305
300.00797616,-0.97274181,23.83507
300.00947631,-0.97377567,24.585081
300.01413955,-0.98591818,23.434965
300.01891916,-1.02005844,20.909241
299.9770541,-1.01414297,21.554361
299.97774973,-0.98485541,18.930925
299.97750575,-0.98360363,24.108875
299.9789529,-0.99424871,18.360403
299.98049505,-0.99449151,21.41894
299.97836936,-0.99527472,25.352741
299.97905455,-0.98121538,18.213186
299.98158096,-0.99037173,18.554747
299.98099875,-0.99162965,20.969189
299.98410233,-1.01323123,19.020393
299.98685402,-1.01406172,19.50359
299.98127557,-1.01277818,24.579899
299.98526162,-0.97745902,18.85956
299.9861271,-0.97879794,20.185089
299.98576481,-0.9757253,20.928108
299.98434853,-0.97656587,24.660839
299.98706296,-0.97962549,23.755217
299.99314449,-1.02097445,20.400455
299.99219864,-1.01975062,21.189772
299.99381258,-1.01857125,21.603636
299.99073906,-1.01991977,24.615225
299.99295273,-0.97858711,18.244781
299.99170123,-0.97801701,23.914623
299.99538745,-0.97540059,18.262686
299.99753912,-0.97544407,19.395216
299.99623291,-0.97179958,19.575176
299.99738784,-0.97481346,20.829937
299.99545725,-0.97363168,24.264164
299.99434295,-0.97256325,22.240486
299.99608504,-0.98084653,19.010427
299.99564396,-0.97938557,21.320002
300.00635767,-0.98038364,25.115343
300.00412239,-0.98069873,21.193474
300.00666428,-0.97918309,23.677099
300.0026503,-0.98083118,23.591299
300.01799882,-1.00819331,18.791054
300.01897332,-1.00839118,21.650366
300.01767018,-0.97970985,19.939758
300.02294508,-1.00787676,19.109034
300.02295366,-1.01513054,18.381048
300.02385939,-1.01269851,19.472185
300.02367296,-1.01079136,20.070875
300.021302,-1.01533727,20.571678
300.02206659,-1.00714955,22.260605
300.02126385,-1.01732095,22.220739
300.02465982,-1.01411319,21.661802
300.02430723,-1.00982264,23.358028
300.0220872,-0.98605928,21.869263
300.02263264,-0.98472362,20.547329
299.98037717,-0.98482991,19.783888
299.98140051,-0.98381942,20.8048
299.98824698,-0.97560948,19.947689
300.00936765,-1.02672335,19.825174
300.01865578,-0.98339596,19.453329
300.01667092,-0.98248352,20.975988
300.01434241,-0.98312079,20.615728
299.98379863,-1.01782444,21.040316
299.98451828,-0.98226303,20.886086
299.97777854,-1.01200546,21.01301
299.97663186,-1.01118358,25.504509
299.98094908,-1.01863538,21.888466
299.98181376,-0.98164787,21.078722
299.9845716,-0.98530305,21.547949
300.00121877,-1.02800321,20.936577
300.01112558,-0.979758,22.169443
300.01315294,-1.01626073,21.889753
300.01478576,-1.02063975,20.442942
300.01501677,-1.01428818,20.963907
300.01390612,-0.98062427,21.230753
300.0150837,-0.97912418,22.175264
300.01387663,-0.97787595,21.361048
300.01452343,-0.97997222,21.70875
300.01979548,-0.98565569,21.519999
300.02051537,-0.99070364,21.763119
300.02099498,-0.98208441,20.7076
300.02826004,-1.00143134,24.347496
299.97626916,-0.98967035,22.260708
299.97612638,-0.9884697,22.923077
299.97754009,-0.99041164,23.592701
299.97882663,-1.00999976,26.45476
299.97988283,-1.00910176,23.391266
299.98022108,-1.00527092,23.387535
299.98472072,-1.02253225,22.725119
299.98915208,-1.02150533,23.322693
299.98749203,-1.01963611,26.576761
300.01261077,-1.0253955,23.23304
300.01814413,-1.01372106,22.195564
